,상권코드,서비스업종코드명,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
4230,2110896,패스트푸드점,1.0,4.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,3.0,202.0,270.0,253152.0,119186.0,133964.0,38642.0,42102.0,38724,36974.0,33888.0,62820.0,58957,51597,32857.0,33444.0,44515.0,31782.0,36541,36214.0,36141.0,36249.0,36701.0,35822,35481,12920000.0,관악구
4231,2110584,호프-간이주점,4.0,4.0,0.0,0.0,18.0,1.0,0.0,6.0,0.0,4.0,49.0,57.0,105695.0,47643.0,58051.0,19325.0,14734.0,17102,17284.0,15682.0,21570.0,26525,22597,13106.0,13094.0,17414.0,12957.0,15203,15291.0,15208.0,15084.0,15310.0,15072,14530,1840000.0,마포구
4232,2111074,호프-간이주점,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,148.0,2361.0,650507.0,291612.0,358894.0,116869.0,66437.0,80865,108852.0,103253.0,174229.0,213732,136529,64250.0,60808.0,89031.0,86158.0,93168,90902.0,91303.0,90542.0,90384.0,95279,98928,15050000.0,강동구
4233,2111074,중식음식점,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,148.0,2361.0,650507.0,291612.0,358894.0,116869.0,66437.0,80865,108852.0,103253.0,174229.0,213732,136529,64250.0,60808.0,89031.0,86158.0,93168,90902.0,91303.0,90542.0,90384.0,95279,98928,1500000.0,강동구
4236,2120018,일식음식점,4.0,4.0,0.0,1.0,29.0,0.0,1.0,5.0,0.0,2.0,2187.0,1546.0,326717.0,164773.0,161944.0,23718.0,45770.0,73883,71815.0,54972.0,56560.0,47604,71480,60403.0,59856.0,58673.0,28701.0,47842,51724.0,51269.0,51767.0,50290.0,38678,35148,3280000.0,중구
4237,2120018,분식전문점,16.0,19.0,0.0,0.0,29.0,0.0,1.0,5.0,0.0,2.0,2187.0,1546.0,326717.0,164773.0,161944.0,23718.0,45770.0,73883,71815.0,54972.0,56560.0,47604,71480,60403.0,59856.0,58673.0,28701.0,47842,51724.0,51269.0,51767.0,50290.0,38678,35148,6810000.0,중구
4241,2120018,중식음식점,3.0,3.0,0.0,0.0,29.0,0.0,1.0,5.0,0.0,2.0,2187.0,1546.0,326717.0,164773.0,161944.0,23718.0,45770.0,73883,71815.0,54972.0,56560.0,47604,71480,60403.0,59856.0,58673.0,28701.0,47842,51724.0,51269.0,51767.0,50290.0,38678,35148,25900000.0,중구
4243,2120018,커피-음료,16.5,19.5,1.0,1.0,29.0,0.0,1.0,5.0,0.0,2.0,2187.0,1546.0,326717.0,164773.0,161944.0,23718.0,45770.0,73883,71815.0,54972.0,56560.0,47604,71480,60403.0,59856.0,58673.0,28701.0,47842,51724.0,51269.0,51767.0,50290.0,38678,35148,8650000.0,중구
4244,2120018,치킨전문점,1.0,2.0,0.0,0.0,29.0,0.0,1.0,5.0,0.0,2.0,2187.0,1546.0,326717.0,164773.0,161944.0,23718.0,45770.0,73883,71815.0,54972.0,56560.0,47604,71480,60403.0,59856.0,58673.0,28701.0,47842,51724.0,51269.0,51767.0,50290.0,38678,35148,27356250.0,중구
4245,2120018,양식음식점,6.0,7.0,1.0,1.0,29.0,0.0,1.0,5.0,0.0,2.0,2187.0,1546.0,326717.0,164773.0,161944.0,23718.0,45770.0,73883,71815.0,54972.0,56560.0,47604,71480,60403.0,59856.0,58673.0,28701.0,47842,51724.0,51269.0,51767.0,50290.0,38678,35148,2140000.0,중구
