,상권코드,시군구명,서비스업종명,월예상매출,점수
2725,2110654,강서구,육류판매,1409.0,67.9
2726,2110654,강서구,분식전문점,1409.0,67.9
2727,2130206,양천구,분식전문점,737.0,50.45
2728,2130310,강남구,중식음식점,540.0,45.33
2729,2130310,강남구,일식음식점,710.0,49.74
2730,2130310,강남구,커피-음료,380.0,41.18
2731,2130310,강남구,제과점,335.0,40.01
2732,2130310,강남구,육류판매,433.0,42.55
2733,2130310,강남구,양식음식점,540.0,45.33
2734,2120134,금천구,패스트푸드점,490.0,44.03
2735,2130165,은평구,육류판매,713.0,49.82
2736,2130165,은평구,한식음식점,801.0,52.11
2737,2130165,은평구,분식전문점,873.0,53.98
2738,2130145,도봉구,호프-간이주점,781.0,51.59
2739,2130145,도봉구,한식음식점,870.0,53.9
2740,2110655,강서구,일식음식점,1446.0,68.86
2741,2120070,성북구,패스트푸드점,692.0,49.28
2742,2120070,성북구,일식음식점,1112.0,60.18
2743,2120070,성북구,커피-음료,1071.0,59.12
2744,2130167,은평구,분식전문점,1430.0,68.44
2745,2130167,은평구,패스트푸드점,1050.0,58.57
2746,2110739,금천구,한식음식점,718.0,49.95
2747,2110599,양천구,분식전문점,921.0,55.22
2748,2110599,양천구,제과점,959.0,56.21
2749,2110599,양천구,커피-음료,921.0,55.22
2750,2110599,양천구,한식음식점,1219.0,62.96
2751,2130118,성북구,호프-간이주점,586.0,46.52
2752,2110926,서초구,한식음식점,1241.0,63.53
2753,2110681,구로구,분식전문점,567.0,46.03
2754,2110978,강남구,양식음식점,334.0,39.98
2755,2110978,강남구,커피-음료,184.0,36.09
2756,2130225,구로구,패스트푸드점,621.0,47.43
2757,2130225,구로구,중식음식점,924.0,55.3
2758,2130107,중랑구,호프-간이주점,326.0,39.77
2759,2110139,광진구,한식음식점,1758.0,76.96
2760,2120054,광진구,육류판매,1501.0,70.28
2761,2120054,광진구,중식음식점,1370.0,66.88
2762,2120054,광진구,제과점,1133.0,60.73
2763,2120054,광진구,분식전문점,1694.0,75.3
2764,2120054,광진구,커피-음료,1550.0,71.56
2765,2120054,광진구,치킨전문점,1527.0,70.96
2766,2130307,강남구,육류판매,447.0,42.92
2767,2110368,강북구,커피-음료,1340.0,66.1
2768,2110225,동대문구,한식음식점,636.0,47.82
2769,2110225,동대문구,호프-간이주점,619.0,47.38
2770,2110889,관악구,중식음식점,888.0,54.37
2771,2110613,양천구,한식음식점,784.0,51.67
2772,2111060,강동구,패스트푸드점,1068.0,59.04
2773,2111060,강동구,중식음식점,1505.0,70.39
2774,2111060,강동구,치킨전문점,1085.0,59.48
2775,2111060,강동구,한식음식점,1516.0,70.67
2776,2120149,영등포구,한식음식점,1270.0,64.29
2777,2120149,영등포구,호프-간이주점,1158.0,61.38
2778,2120149,영등포구,패스트푸드점,902.0,54.73
2779,2120149,영등포구,양식음식점,1328.0,65.79
2780,2120149,영등포구,분식전문점,1215.0,62.86
2781,2120149,영등포구,치킨전문점,1210.0,62.73
2782,2120149,영등포구,중식음식점,1328.0,65.79
2783,2120149,영등포구,제과점,832.0,52.91
2784,2120034,중구,일식음식점,949.0,55.95
2785,2120034,중구,양식음식점,980.0,56.76
2786,2110647,강서구,중식음식점,1319.0,65.56
2787,2110647,강서구,한식음식점,1562.0,71.87
2788,2110647,강서구,양식음식점,1319.0,65.56
2789,2110647,강서구,호프-간이주점,1319.0,65.56
2790,2110647,강서구,커피-음료,1268.0,64.23
2791,2111051,강동구,분식전문점,1409.0,67.9
2792,2111051,강동구,호프-간이주점,1409.0,67.9
2793,2110976,강남구,한식음식점,1076.0,59.25
2794,2110976,강남구,커피-음료,794.0,51.93
2795,2110976,강남구,분식전문점,879.0,54.13
2796,2111017,송파구,커피-음료,851.0,53.41
2797,2111017,송파구,한식음식점,1048.0,58.52
2798,2111017,송파구,분식전문점,934.0,55.56
2799,2111030,송파구,한식음식점,1734.0,76.33
2800,2111030,송파구,육류판매,1462.0,69.27
2801,2111030,송파구,커피-음료,1420.0,68.18
2802,2111030,송파구,호프-간이주점,1462.0,69.27
2803,2110245,중랑구,한식음식점,894.0,54.52
2804,2110980,강남구,중식음식점,872.0,53.95
2805,2110731,금천구,분식전문점,849.0,53.35
2806,2110731,금천구,호프-간이주점,674.0,48.81
