,상권코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업율,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
39,2120168,분식전문점,2.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,5.0,0.0,2.0,569.0,267.0,272906,139202,133704,45536,36045,48463,51943,42417,48502,52426,59684,44695,44629,44469,27003,39947,42309,42788,42674,40925,32932,31333,13810000.0,서초구
40,2120168,호프-간이주점,2.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,5.0,0.0,2.0,569.0,267.0,272906,139202,133704,45536,36045,48463,51943,42417,48502,52426,59684,44695,44629,44469,27003,39947,42309,42788,42674,40925,32932,31333,36640000.0,서초구
41,2120168,제과점,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,5.0,0.0,2.0,569.0,267.0,272906,139202,133704,45536,36045,48463,51943,42417,48502,52426,59684,44695,44629,44469,27003,39947,42309,42788,42674,40925,32932,31333,21670000.0,서초구
42,2120168,한식음식점,10.0,11.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,5.0,0.0,2.0,569.0,267.0,272906,139202,133704,45536,36045,48463,51943,42417,48502,52426,59684,44695,44629,44469,27003,39947,42309,42788,42674,40925,32932,31333,25560000.0,서초구
43,2120168,양식음식점,4.0,4.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,5.0,0.0,2.0,569.0,267.0,272906,139202,133704,45536,36045,48463,51943,42417,48502,52426,59684,44695,44629,44469,27003,39947,42309,42788,42674,40925,32932,31333,83130000.0,서초구
44,2120168,커피-음료,6.0,8.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,5.0,0.0,2.0,569.0,267.0,272906,139202,133704,45536,36045,48463,51943,42417,48502,52426,59684,44695,44629,44469,27003,39947,42309,42788,42674,40925,32932,31333,11200000.0,서초구
45,2120168,중식음식점,2.0,2.0,50.0,1.0,50.0,1.0,14.0,1.0,2.0,5.0,0.0,2.0,569.0,267.0,272906,139202,133704,45536,36045,48463,51943,42417,48502,52426,59684,44695,44629,44469,27003,39947,42309,42788,42674,40925,32932,31333,18900000.0,서초구
53,2110393,호프-간이주점,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,4080000.0,도봉구
54,2110393,한식음식점,3.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,22920000.0,도봉구
55,2110393,분식전문점,1.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,2760000.0,도봉구
56,2110393,패스트푸드점,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,46570000.0,도봉구
57,2110393,치킨전문점,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,24640000.0,도봉구
58,2110393,양식음식점,2.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,35060000.0,도봉구
59,2110393,커피-음료,2.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,10010000.0,도봉구
60,2110393,제과점,2.0,2.0,50.0,1.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,4.0,49.0,211.0,45811,20742,25069,7154,4422,5467,6047,7729,14992,6814,8103,6862,7973,10922,5137,6373,6170,6190,6088,6228,7385,7378,10210000.0,도봉구
61,2110402,한식음식점,34.0,35.0,3.0,1.0,3.0,1.0,11.0,0.0,0.0,7.0,0.0,1.0,471.0,3094.0,601261,289036,312225,73591,69718,83544,87113,106582,180713,149039,122593,70946,73911,104958,79813,84607,83797,83848,83953,84020,89773,91264,7350000.0,도봉구
62,2110402,중식음식점,3.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,1.0,471.0,3094.0,601261,289036,312225,73591,69718,83544,87113,106582,180713,149039,122593,70946,73911,104958,79813,84607,83797,83848,83953,84020,89773,91264,3270000.0,도봉구
63,2110402,호프-간이주점,9.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,1.0,471.0,3094.0,601261,289036,312225,73591,69718,83544,87113,106582,180713,149039,122593,70946,73911,104958,79813,84607,83797,83848,83953,84020,89773,91264,4500000.0,도봉구
64,2110402,커피-음료,6.0,7.0,14.0,1.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,1.0,471.0,3094.0,601261,289036,312225,73591,69718,83544,87113,106582,180713,149039,122593,70946,73911,104958,79813,84607,83797,83848,83953,84020,89773,91264,790000.0,도봉구
65,2110402,치킨전문점,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,1.0,471.0,3094.0,601261,289036,312225,73591,69718,83544,87113,106582,180713,149039,122593,70946,73911,104958,79813,84607,83797,83848,83953,84020,89773,91264,8330000.0,도봉구
66,2110449,커피-음료,7.0,7.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,2170000.0,은평구
67,2110449,치킨전문점,1.0,2.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,22370000.0,은평구
68,2110449,호프-간이주점,4.0,4.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,7810000.0,은평구
69,2110449,제과점,3.0,4.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,10210000.0,은평구
70,2110449,육류판매,2.0,2.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,27340000.0,은평구
71,2110449,한식음식점,9.0,9.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,12420000.0,은평구
72,2110449,패스트푸드점,2.0,4.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,7640000.0,은평구
73,2110449,양식음식점,3.0,3.0,33.0,1.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,23680000.0,은평구
74,2110449,분식전문점,5.0,5.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,4.0,1.0,4.0,717.0,5166.0,1223351,526101,697250,209471,149576,178697,184366,188169,313074,366957,254380,128138,124643,183985,165248,176272,174143,173663,173890,171239,174927,179217,4490000.0,은평구
75,2130212,분식전문점,4.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,8.0,375.0,191706,97934,93772,16453,42584,39291,29294,26929,37155,42804,40725,27016,25614,33489,22060,27008,27161,27048,27151,28090,27727,27522,1030000.0,강서구
76,2130212,커피-음료,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,8.0,375.0,191706,97934,93772,16453,42584,39291,29294,26929,37155,42804,40725,27016,25614,33489,22060,27008,27161,27048,27151,28090,27727,27522,3900000.0,강서구
77,2130212,호프-간이주점,5.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,8.0,375.0,191706,97934,93772,16453,42584,39291,29294,26929,37155,42804,40725,27016,25614,33489,22060,27008,27161,27048,27151,28090,27727,27522,6590000.0,강서구
78,2130212,한식음식점,12.0,13.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,8.0,375.0,191706,97934,93772,16453,42584,39291,29294,26929,37155,42804,40725,27016,25614,33489,22060,27008,27161,27048,27151,28090,27727,27522,14610000.0,강서구
79,2110388,한식음식점,6.0,7.0,0.0,0.0,14.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,35.0,2541.0,828083,358535,469548,147447,93498,105539,127445,121806,232349,239136,172436,86974,88027,130864,110645,118920,114276,114614,114664,114795,122252,128563,18280000.0,도봉구
80,2110388,호프-간이주점,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,35.0,2541.0,828083,358535,469548,147447,93498,105539,127445,121806,232349,239136,172436,86974,88027,130864,110645,118920,114276,114614,114664,114795,122252,128563,3460000.0,도봉구
81,2110388,커피-음료,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,35.0,2541.0,828083,358535,469548,147447,93498,105539,127445,121806,232349,239136,172436,86974,88027,130864,110645,118920,114276,114614,114664,114795,122252,128563,2260000.0,도봉구
82,2110388,육류판매,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,35.0,2541.0,828083,358535,469548,147447,93498,105539,127445,121806,232349,239136,172436,86974,88027,130864,110645,118920,114276,114614,114664,114795,122252,128563,55050000.0,도봉구
