,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명,서비스업종명,월예상매출
12475,13.5,16.5,1.0,0.0,45.0,1.0,0.0,12.0,0.0,9.0,1724.0,4575.0,1585510.875,761965.5,824092.5,201150.75,283382,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,3.0,강남구,커피-음료,3.0
12476,7.0,13.0,0.0,1.0,45.0,1.0,0.0,12.0,0.0,9.0,1724.0,4575.0,1585510.875,761965.5,824092.5,201150.75,283382,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,5.0,강남구,치킨전문점,5.0
12477,6.0,6.0,0.0,0.0,45.0,1.0,0.0,12.0,0.0,9.0,1724.0,4575.0,1585510.875,761965.5,824092.5,201150.75,283382,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,5.0,강남구,육류판매,3.0
12478,13.5,16.5,1.0,1.0,45.0,1.0,0.0,12.0,0.0,9.0,1724.0,4575.0,1585510.875,761965.5,824092.5,201150.75,283382,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,분식전문점,3.0
12479,13.5,16.5,0.0,0.0,45.0,1.0,0.0,12.0,0.0,9.0,1724.0,4575.0,1585510.875,761965.5,824092.5,201150.75,283382,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,4.0,강남구,호프-간이주점,3.0
12480,6.0,6.0,0.0,0.0,45.0,1.0,0.0,12.0,0.0,9.0,1724.0,4575.0,1585510.875,761965.5,824092.5,201150.75,283382,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,중식음식점,3.0
12507,13.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,361.0,2118.0,423398.0,215420.0,207978.0,61026.0,58457,77728,81410.0,71032.0,73746.0,101071.0,83854.0,53926,54541.0,74961.0,55046.0,60430.0,60905.0,61965,62279.0,62511.0,58655.0,56652.0,7.0,강남구,한식음식점,1.0
12516,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,166.0,827.0,214121.0,97506.0,116615.0,41250.0,24328,38973,52795.0,26009.0,30766.0,62333.0,49376.0,24428,24487.0,29066.0,24432.0,30209.0,29983.0,30675,30628.0,30047.0,31087.0,31491.0,1.0,강남구,커피-음료,3.0
12517,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,166.0,827.0,214121.0,97506.0,116615.0,41250.0,24328,38973,52795.0,26009.0,30766.0,62333.0,49376.0,24428,24487.0,29066.0,24432.0,30209.0,29983.0,30675,30628.0,30047.0,31087.0,31491.0,6.0,강남구,제과점,0.0
12531,2.0,14.0,0.0,1.0,34.0,1.0,2.0,8.0,1.0,3.0,3226.5,29.0,92815.0,46773.0,46043.0,6348.0,19683,25607,20687.0,11541.0,8949.0,6267.0,17913.0,21171,22211.0,19976.0,5277.0,13648.0,13721.0,14053,15264.0,15081.0,11312.0,9736.0,7.0,강남구,패스트푸드점,3.0
12532,13.5,16.5,1.0,0.0,34.0,1.0,2.0,8.0,1.0,3.0,3226.5,29.0,92815.0,46773.0,46043.0,6348.0,19683,25607,20687.0,11541.0,8949.0,6267.0,17913.0,21171,22211.0,19976.0,5277.0,13648.0,13721.0,14053,15264.0,15081.0,11312.0,9736.0,7.0,강남구,커피-음료,3.0
12533,10.0,13.0,1.0,0.0,34.0,1.0,2.0,8.0,1.0,3.0,3226.5,29.0,92815.0,46773.0,46043.0,6348.0,19683,25607,20687.0,11541.0,8949.0,6267.0,17913.0,21171,22211.0,19976.0,5277.0,13648.0,13721.0,14053,15264.0,15081.0,11312.0,9736.0,7.0,강남구,중식음식점,3.0
12534,13.5,16.5,0.0,0.0,34.0,1.0,2.0,8.0,1.0,3.0,3226.5,29.0,92815.0,46773.0,46043.0,6348.0,19683,25607,20687.0,11541.0,8949.0,6267.0,17913.0,21171,22211.0,19976.0,5277.0,13648.0,13721.0,14053,15264.0,15081.0,11312.0,9736.0,7.0,강남구,일식음식점,3.0
12535,13.5,16.5,0.0,0.0,34.0,1.0,2.0,8.0,1.0,3.0,3226.5,29.0,92815.0,46773.0,46043.0,6348.0,19683,25607,20687.0,11541.0,8949.0,6267.0,17913.0,21171,22211.0,19976.0,5277.0,13648.0,13721.0,14053,15264.0,15081.0,11312.0,9736.0,7.0,강남구,한식음식점,1.0
12536,5.0,7.0,0.0,0.0,27.0,0.0,1.0,4.0,0.0,5.0,984.0,1638.0,1024497.0,460151.0,564346.0,201150.75,120004,128927,204685.0,127544.0,126717.0,151035.0,190772.0,166990,179559.0,229687.0,106455.0,144532.0,145031.0,148259,151256.0,151202.0,149328.0,134887.0,7.0,강남구,제과점,0.0
12537,7.0,8.0,1.0,0.0,27.0,0.0,1.0,4.0,0.0,5.0,984.0,1638.0,1024497.0,460151.0,564346.0,201150.75,120004,128927,204685.0,127544.0,126717.0,151035.0,190772.0,166990,179559.0,229687.0,106455.0,144532.0,145031.0,148259,151256.0,151202.0,149328.0,134887.0,5.0,강남구,일식음식점,3.0
12538,2.0,2.0,0.0,0.0,27.0,0.0,1.0,4.0,0.0,5.0,984.0,1638.0,1024497.0,460151.0,564346.0,201150.75,120004,128927,204685.0,127544.0,126717.0,151035.0,190772.0,166990,179559.0,229687.0,106455.0,144532.0,145031.0,148259,151256.0,151202.0,149328.0,134887.0,7.0,강남구,육류판매,3.0
12539,3.0,4.0,0.0,0.0,27.0,0.0,1.0,4.0,0.0,5.0,984.0,1638.0,1024497.0,460151.0,564346.0,201150.75,120004,128927,204685.0,127544.0,126717.0,151035.0,190772.0,166990,179559.0,229687.0,106455.0,144532.0,145031.0,148259,151256.0,151202.0,149328.0,134887.0,3.0,강남구,양식음식점,3.0
12540,9.0,9.0,0.0,0.0,51.0,0.0,2.0,2.0,0.0,4.0,3226.5,444.0,887365.0,396687.0,490677.0,90844.0,198016,204371,163294.0,105705.0,125135.0,99376.0,149971.0,167703,183729.0,208262.0,78322.0,124796.0,128716.0,129454,138141.0,142203.0,125074.0,98980.0,3.0,강남구,호프-간이주점,1.0
12541,1.0,1.0,0.0,0.0,51.0,0.0,2.0,2.0,0.0,4.0,3226.5,444.0,887365.0,396687.0,490677.0,90844.0,198016,204371,163294.0,105705.0,125135.0,99376.0,149971.0,167703,183729.0,208262.0,78322.0,124796.0,128716.0,129454,138141.0,142203.0,125074.0,98980.0,7.0,강남구,육류판매,1.0
12542,13.5,16.5,1.0,1.0,51.0,0.0,2.0,2.0,0.0,4.0,3226.5,444.0,887365.0,396687.0,490677.0,90844.0,198016,204371,163294.0,105705.0,125135.0,99376.0,149971.0,167703,183729.0,208262.0,78322.0,124796.0,128716.0,129454,138141.0,142203.0,125074.0,98980.0,3.0,강남구,커피-음료,3.0
